Kabupaten/Kota,Tahun,Kuartal,Laju_Inflasi(YOY),Proksi Inflasi
Kabupaten Sidoarjo,2022,II,4.89,Kota Surabaya
Kabupaten Sidoarjo,2022,III,6.91,Kota Surabaya
Kabupaten Sidoarjo,2022,IV,6.59,Kota Surabaya
Kabupaten Sidoarjo,2023,I,6.3,Kota Surabaya
Kabupaten Sidoarjo,2023,II,4.91,Kota Surabaya
Kabupaten Sidoarjo,2023,III,3.14,Kota Surabaya
Kabupaten Sidoarjo,2023,IV,3.03,Kota Surabaya
Kabupaten Sidoarjo,2024,I,2.99,Kota Surabaya
Kabupaten Sidoarjo,2024,II,2.35,Kota Surabaya
Kabupaten Sidoarjo,2024,III,1.65,Kota Surabaya
Kabupaten Sidoarjo,2024,IV,1.38,Kota Surabaya
Kabupaten Sidoarjo,2025,I,0.63,Kota Surabaya
Kabupaten Mojokerto,2022,I,3.16,Kota Surabaya
Kabupaten Mojokerto,2022,II,4.89,Kota Surabaya
Kabupaten Mojokerto,2022,III,6.91,Kota Surabaya
Kabupaten Mojokerto,2022,IV,6.59,Kota Surabaya
Kabupaten Mojokerto,2023,I,6.3,Kota Surabaya
Kabupaten Mojokerto,2023,II,4.91,Kota Surabaya
Kabupaten Mojokerto,2023,III,3.14,Kota Surabaya
Kabupaten Mojokerto,2023,IV,3.03,Kota Surabaya
Kabupaten Mojokerto,2024,I,2.99,Kota Surabaya
Kabupaten Mojokerto,2024,II,2.35,Kota Surabaya
Kabupaten Mojokerto,2024,III,1.65,Kota Surabaya
Kabupaten Mojokerto,2024,IV,1.38,Kota Surabaya
Kabupaten Mojokerto,2025,I,0.63,Kota Surabaya
Kabupaten Jombang,2022,I,3.16,Kota Surabaya
Kabupaten Jombang,2022,II,4.89,Kota Surabaya
Kabupaten Jombang,2022,III,6.91,Kota Surabaya
Kabupaten Jombang,2022,IV,6.59,Kota Surabaya
Kabupaten Jombang,2023,I,6.3,Kota Surabaya
Kabupaten Jombang,2023,II,4.91,Kota Surabaya
Kabupaten Jombang,2023,III,3.14,Kota Surabaya
Kabupaten Jombang,2023,IV,3.03,Kota Surabaya
Kabupaten Jombang,2024,I,2.99,Kota Surabaya
Kabupaten Jombang,2024,II,2.35,Kota Surabaya
Kabupaten Jombang,2024,III,1.65,Kota Surabaya
Kabupaten Jombang,2024,IV,1.38,Kota Surabaya
Kabupaten Jombang,2025,I,0.63,Kota Surabaya
Kabupaten Nganjuk,2022,I,2.33,Kota Kediri
Kabupaten Nganjuk,2022,II,4.03,Kota Kediri
Kabupaten Nganjuk,2022,III,6.29,Kota Kediri
Kabupaten Nganjuk,2022,IV,5.76,Kota Kediri
Kabupaten Nganjuk,2023,I,5.36,Kota Kediri
Kabupaten Nganjuk,2023,II,3.92,Kota Kediri
Kabupaten Nganjuk,2023,III,2.55,Kota Kediri
Kabupaten Nganjuk,2023,IV,2.64,Kota Kediri
Kabupaten Nganjuk,2024,I,2.88,Kota Kediri
Kabupaten Nganjuk,2024,II,1.72,Kota Kediri
Kabupaten Nganjuk,2024,III,0.88,Kota Kediri
Kabupaten Nganjuk,2024,IV,1.19,Kota Kediri
Kabupaten Nganjuk,2025,I,-0.04,Kota Kediri
Kabupaten Madiun,2022,I,2.38,Kota Madiun
Kabupaten Madiun,2022,II,4.76,Kota Madiun
Kabupaten Madiun,2022,III,6.14,Kota Madiun
Kabupaten Madiun,2022,IV,5.8,Kota Madiun
Kabupaten Madiun,2023,I,5.15,Kota Madiun
Kabupaten Madiun,2023,II,3.25,Kota Madiun
Kabupaten Madiun,2023,III,2.16,Kota Madiun
Kabupaten Madiun,2023,IV,2.35,Kota Madiun
