Nama_Kabupaten_Kota,Garis_Kemiskinan,Indeks_Pembangunan_Manusia,Persen_Penduduk_Miskin,Tingkat Pengangguran Terbuka,Upah Minimum,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk,Tahun,Kuartal,PDRB,Proksi Inflasi,Laju_Inflasi,Gini_Ratio,investasi_per_kapita
Kabupaten Jember,400961,69.8,9.39,4.06,2355662.91,2568.6,0.71,6.24,803.0,99.35,2022,1.0,13360.61,Kabupaten Jember,2.87,0.301,339.15773420479303
Kabupaten Jember,400961,69.8,9.39,4.06,2355662.91,2568.6,0.71,6.24,803.0,99.35,2022,2.0,14516.92,Kabupaten Jember,5.53,0.301,0.0
Kabupaten Jember,400961,69.8,9.39,4.06,2355662.91,2568.6,0.71,6.24,803.0,99.35,2022,3.0,15288.05,Kabupaten Jember,7.3,0.301,0.0
Kabupaten Jember,400961,69.8,9.39,4.06,2355662.91,2568.6,0.71,6.24,803.0,99.35,2022,4.0,14001.56,Kabupaten Jember,7.39,0.301,0.0
Kabupaten Jember,441171,70.42,9.51,4.01,2665392.0,2586.8,0.71,6.23,781.0,99.3,2023,1.0,14045.56,Kabupaten Jember,6.48,0.344,0.0
Kabupaten Jember,441171,70.42,9.51,4.01,2665392.0,2586.8,0.71,6.23,781.0,99.3,2023,2.0,15185.96,Kabupaten Jember,4.31,0.344,0.0
Kabupaten Jember,441171,70.42,9.51,4.01,2665392.0,2586.8,0.71,6.23,781.0,99.3,2023,3.0,16031.21,Kabupaten Jember,3.05,0.344,0.0
Kabupaten Jember,441171,70.42,9.51,4.01,2665392.0,2586.8,0.71,6.23,781.0,99.3,2023,4.0,14721.27,Kabupaten Jember,2.29,0.344,0.0
Kabupaten Jember,459043,70.93,9.01,3.23,2838642.0,2603.8,0.7,6.23,786.0,99.3,2024,1.0,14645.47,Kabupaten Jember,2.53,0.321,0.0
Kabupaten Jember,459043,70.93,9.01,3.23,2838642.0,2603.8,0.7,6.23,786.0,99.3,2024,2.0,16035.33,Kabupaten Jember,1.99,0.321,0.0
Kabupaten Jember,459043,70.93,9.01,3.23,2838642.0,2603.8,0.7,6.23,786.0,99.3,2024,3.0,16802.63,Kabupaten Jember,1.56,0.321,0.0
Kabupaten Jember,459043,70.93,9.01,3.23,2838642.0,2603.8,0.7,6.23,786.0,99.3,2024,4.0,15413.74,Kabupaten Jember,"1,74",0.321,0.0
Kabupaten Jombang,448830,74.66,9.04,5.47,2654095.88,1338.6,0.85,3.25,1203.5,101.65,2022,1.0,7267.7,Kota Surabaya,3.16,0.31,445.4301919720768
Kabupaten Jombang,448830,74.66,9.04,5.47,2654095.88,1338.6,0.85,3.25,1203.5,101.65,2022,2.0,7479.8,Kota Surabaya,4.89,0.31,0.0
Kabupaten Jombang,448830,74.66,9.04,5.47,2654095.88,1338.6,0.85,3.25,1203.5,101.65,2022,3.0,7973.62,Kota Surabaya,6.91,0.31,0.0
Kabupaten Jombang,448830,74.66,9.04,5.47,2654095.88,1338.6,0.85,3.25,1203.5,101.65,2022,4.0,7365.05,Kota Surabaya,6.59,0.31,0.0
Kabupaten Jombang,488754,75.16,9.15,4.66,2945544.0,1351.3,0.91,3.25,1218.0,101.6,2023,1.0,7651.23,Kota Surabaya,6.3,0.339,0.0
Kabupaten Jombang,488754,75.16,9.15,4.66,2945544.0,1351.3,0.91,3.25,1218.0,101.6,2023,2.0,7960.62,Kota Surabaya,4.91,0.339,0.0
Kabupaten Jombang,488754,75.16,9.15,4.66,2945544.0,1351.3,0.91,3.25,1218.0,101.6,2023,3.0,8292.69,Kota Surabaya,3.14,0.339,0.0
Kabupaten Jombang,488754,75.16,9.15,4.66,2945544.0,1351.3,0.91,3.25,1218.0,101.6,2023,4.0,7698.23,Kota Surabaya,3.03,0.339,0.0
Kabupaten Jombang,514170,75.67,8.6,3.75,3137004.0,1362.7,0.89,3.26,1228.0,101.6,2024,1.0,7895.34,Kota Surabaya,2.99,0.302,0.0
Kabupaten Jombang,514170,75.67,8.6,3.75,3137004.0,1362.7,0.89,3.26,1228.0,101.6,2024,2.0,8414.28,Kota Surabaya,2.35,0.302,0.0
Kabupaten Jombang,514170,75.67,8.6,3.75,3137004.0,1362.7,0.89,3.26,1228.0,101.6,2024,3.0,8780.83,Kota Surabaya,1.65,0.302,0.0
Kabupaten Jombang,514170,75.67,8.6,3.75,3137004.0,1362.7,0.89,3.26,1228.0,101.6,2024,4.0,8140.03,Kota Surabaya,"1,38",0.302,0.0
Kabupaten Kediri,353033,74.2,10.65,6.83,2043422.93,1660.8,0.83,4.03,1143.5,101.95,2022,1.0,7228.16,Kota Kediri,2.33,0.329,2180.7481188118813
Kabupaten Kediri,353033,74.2,10.65,6.83,2043422.93,1660.8,0.83,4.03,1143.5,101.95,2022,2.0,7633.04,Kota Kediri,4.03,0.329,0.0
Kabupaten Kediri,353033,74.2,10.65,6.83,2043422.93,1660.8,0.83,4.03,1143.5,101.95,2022,3.0,8117.89,Kota Kediri,6.29,0.329,0.0
Kabupaten Kediri,353033,74.2,10.65,6.83,2043422.93,1660.8,0.83,4.03,1143.5,101.95,2022,4.0,7821.61,Kota Kediri,5.76,0.329,0.0
Kabupaten Kediri,385874,74.68,10.72,5.79,2340668.0,1677.2,0.92,4.04,1101.0,101.9,2023,1.0,7614.68,Kota Kediri,5.36,0.306,0.0
Kabupaten Kediri,385874,74.68,10.72,5.79,2340668.0,1677.2,0.92,4.04,1101.0,101.9,2023,2.0,7978.4,Kota Kediri,3.92,0.306,0.0
Kabupaten Kediri,385874,74.68,10.72,5.79,2340668.0,1677.2,0.92,4.04,1101.0,101.9,2023,3.0,8528.33,Kota Kediri,2.55,0.306,0.0
Kabupaten Kediri,385874,74.68,10.72,5.79,2340668.0,1677.2,0.92,4.04,1101.0,101.9,2023,4.0,8074.09,Kota Kediri,2.64,0.306,0.0
Kabupaten Kediri,403621,75.18,9.95,5.1,2492811.0,1689.9,0.88,4.04,1109.0,101.9,2024,1.0,7959.47,Kota Kediri,2.88,0.3,0.0
Kabupaten Kediri,403621,75.18,9.95,5.1,2492811.0,1689.9,0.88,4.04,1109.0,101.9,2024,2.0,8383.72,Kota Kediri,1.72,0.3,0.0
Kabupaten Kediri,403621,75.18,9.95,5.1,2492811.0,1689.9,0.88,4.04,1109.0,101.9,2024,3.0,8918.42,Kota Kediri,0.88,0.3,0.0
Kabupaten Kediri,403621,75.18,9.95,5.1,2492811.0,1689.9,0.88,4.04,1109.0,101.9,2024,4.0,8526.02,Kota Kediri,"1,19",0.3,0.0
Kabupaten Lamongan,446601,74.83,12.53,6.05,2488724.77,1362.75,0.93,3.31,771.0,100.1,2022,1.0,7461.61,Kota Surabaya,3.16,0.273,4248.502409638554
Kabupaten Lamongan,446601,74.83,12.53,6.05,2488724.77,1362.75,0.93,3.31,771.0,100.1,2022,2.0,7530.26,Kota Surabaya,4.89,0.273,0.0
Kabupaten Lamongan,446601,74.83,12.53,6.05,2488724.77,1362.75,0.93,3.31,771.0,100.1,2022,3.0,7572.81,Kota Surabaya,6.91,0.273,0.0
Kabupaten Lamongan,446601,74.83,12.53,6.05,2488724.77,1362.75,0.93,3.31,771.0,100.1,2022,4.0,6882.77,Kota Surabaya,6.59,0.273,0.0
Kabupaten Lamongan,481969,75.29,12.42,5.46,2828323.0,1369.5,0.68,3.3,781.0,100.1,2023,1.0,7759.23,Kota Surabaya,6.3,0.295,0.0
Kabupaten Lamongan,481969,75.29,12.42,5.46,2828323.0,1369.5,0.68,3.3,781.0,100.1,2023,2.0,7912.67,Kota Surabaya,4.91,0.295,0.0
Kabupaten Lamongan,481969,75.29,12.42,5.46,2828323.0,1369.5,0.68,3.3,781.0,100.1,2023,3.0,7818.37,Kota Surabaya,3.14,0.295,0.0
Kabupaten Lamongan,481969,75.29,12.42,5.46,2828323.0,1369.5,0.68,3.3,781.0,100.1,2023,4.0,7218.91,Kota Surabaya,3.03,0.295,0.0
