kabupaten_kota,tahun,kuartal,total investasi_rp_juta,total investasi_us_ribu,total_tki,investasi_per_kapita
Kabupaten Lamongan,2023,4,226298.6,15290.300000000001,367,0.0
Kabupaten Lamongan,2024,1,304999.9,20333.3,2168,0.0
Kabupaten Lamongan,2024,2,522159.4,34810.7,4742,0.0
Kabupaten Lamongan,2024,3,994282.2999999999,66284.8,5656,0.0
Kabupaten Lamongan,2024,4,1730024.1,115335.2,2718,0.0
Kabupaten Lumajang,2022,2,151754.4,10574.9,1847,0.0
Kabupaten Lumajang,2022,3,405279.4,28242.8,6014,0.0
Kabupaten Lumajang,2022,4,357250.6,24896.0,4588,0.0
Kabupaten Lumajang,2023,1,328472.39999999997,22194.1,6766,0.0
Kabupaten Lumajang,2023,2,212227.7,14339.800000000001,677,0.0
Kabupaten Lumajang,2023,3,421853.9,28504.0,3153,0.0
Kabupaten Lumajang,2023,4,257003.8,17365.0,1018,0.0
Kabupaten Lumajang,2024,1,1318900.0999999999,87926.7,1707,0.0
Kabupaten Lumajang,2024,2,172636.3,11508.6,1689,0.0
Kabupaten Lumajang,2024,3,72428.2,4828.6,908,0.0
Kabupaten Lumajang,2024,4,220902.0,14726.599999999999,651,0.0
Kabupaten Madiun,2022,2,62871.0,4381.3,26,0.0
Kabupaten Madiun,2022,3,191948.4,13376.0,957,0.0
Kabupaten Madiun,2022,4,62001.49999999999,4320.599999999999,98,0.0
Kabupaten Madiun,2023,1,881385.4,59552.700000000004,1602,0.0
Kabupaten Madiun,2023,2,91983.4,6215.3,1947,0.0
Kabupaten Madiun,2023,3,280695.5,18966.1,533,0.0
Kabupaten Madiun,2023,4,180266.2,12180.3,502,0.0
Kabupaten Madiun,2024,1,173026.4,11534.9,3238,0.0
Kabupaten Madiun,2024,2,753588.2,50238.9,3686,0.0
Kabupaten Madiun,2024,3,251951.0,16796.9,3549,0.0
Kabupaten Madiun,2024,4,110234.3,7348.9,3997,0.0
Kabupaten Magetan,2022,2,3192.0,222.5,255,0.0
Kabupaten Magetan,2022,3,21621.4,1506.7,8,0.0
Kabupaten Magetan,2022,4,7786.3,542.6,228,0.0
Kabupaten Magetan,2023,1,169003.9,11419.0,107,0.0
Kabupaten Magetan,2023,2,11071.4,748.1,833,0.0
Kabupaten Magetan,2023,3,63359.0,4281.2,669,0.0
Kabupaten Magetan,2023,4,18865.0,1274.5,25,0.0
Kabupaten Magetan,2024,1,10729.7,715.1,646,0.0
Kabupaten Magetan,2024,2,41227.4,2748.7000000000003,62,0.0
Kabupaten Magetan,2024,3,28900.4,1926.8000000000002,150,0.0
Kabupaten Magetan,2024,4,9891.6,659.3000000000001,240,0.0
Kabupaten Malang,2022,2,2351147.4,163843.0,562,0.0
Kabupaten Malang,2022,3,1598269.1,111376.9,2555,0.0
Kabupaten Malang,2022,4,492699.1,34334.5,989,0.0
Kabupaten Malang,2023,1,1030520.1,69630.5,2727,0.0
Kabupaten Malang,2023,2,671129.5,45346.8,9556,0.0
Kabupaten Malang,2023,3,1209989.0,81756.3,9233,0.0
Kabupaten Malang,2023,4,952876.5,64383.9,3201,0.0
